name,SiO2,Al2O3,MgO,CaO,FeO,Na2O,K2O,MnO,TiO2,P2O5,Cr2O3,CO2,H2O,F,S,Cl
PI032-04-01,50.02886344741479,15.22697905217924,5.33000578157209,10.52201916480974,8.59454,3.914279646769781,0.7307975857812663,0.1262658106466554,2.669216361425338,0.3035417837761322,,0.6582519010038079,1.508379392916054,0.08258995203865419,0.1523369689516803,0.03556505111712381
PI032-04-02,49.5588608653354,16.04158817918755,5.117479069292791,10.26606651879757,8.25471,3.782407740207753,0.997826382702987,0.1299688055334239,2.814806661117191,0.3569004251953499,,0.7134722656242503,1.412273677631011,0.0890101072517272,0.1755114741637777,0.04726466799950791
PI041-02-02,49.11204690042242,16.97203827539184,4.864152808725821,9.195717522601353,10.0754,3.793512146379192,1.079183850559562,0.1534556571063528,2.807966786324999,0.5617557075392665,,0.4645196826912161,0.6563405209643448,0.04771514158324166,0.06810791993624536,0.0211847309104019
PI041-03-01,47.09851533363985,17.44851429554447,4.650640387323685,12.15410996235268,7.95402,3.707262538135455,1.268282303431612,0.1013695999714842,3.493270861435028,0.6115044868202527,,0.8837198419530707,0.3249676354063344,0.08806969928968968,0.09622794152299798,0.05995816581106106
PI041-03-03,46.4788721506438,17.63710188568709,4.76275139641961,12.36403321077988,7.84027,3.789445682926775,1.294602746985623,0.07722146950719502,3.61748389035317,0.5742481083056069,,0.9104695769188415,0.3449883611551734,0.09060458292922775,0.08814517514070365,0.0615835710246434
PI041-05-04,47.13829702031592,17.95674048131921,4.024119641541277,9.08071977080753,11.0646,4.443080069975884,1.552078982260703,0.1370076721329759,2.402198995649591,0.7971810472945842,,0.4927378068855342,0.4459671022346363,0.08477717255107123,0.1173148901851091,0.05701563365230495
PI041-05-06,46.50128349990297,17.3116857240747,4.228429098836453,9.097127767048232,11.0474,4.082552837682526,1.445413284902228,0.1629753538702151,3.707347099525019,0.6319870095499242,,0.6529851337339203,0.5975602009591948,0.1095840246324661,0.1307038548343596,0.06465457453315501
PI041-07-01,46.71924973114776,16.93371535238032,4.81194738429741,10.73443085728576,9.19577,3.480676077977853,1.414639912977639,0.1356731708352906,3.927458113659286,0.6168992692675361,,0.5200141944418376,1.134938732539814,0.08349600666825645,0.1816920145105017,0.06262200500119233
PI041-07-02,46.70383369225715,17.15262955570335,4.807799226102227,11.07064122633816,9.02066,3.513364272562438,1.498242518354978,0.1276133339742261,3.89323435406724,0.678595072848129,,0.4099626783873724,0.678780784134326,0.08104291855057419,0.1546461566956489,0.06318768557737547
PI052-01-02,47.82072221650965,15.70501927854983,4.604759095443311,9.57929430006616,11.987,4.545953730371632,1.414318865029017,0.2302379547721655,1.627612901051716,0.6319084992448178,0.04385484852803152,0.2658841472897203,1.035920409228832,0.07584895393143636,0.1166140290404475,0.04953604481461743
