name,SiO2,FeO,MgO,NiO,MnO,Al2O3,CaO,total
PI032-04-01,38.2048,15.9814,44.194,0.172665,0.234256,0.005229,0.240552,99.032906
PI032-04-02,38.6385,15.8984,43.4674,0.188024,0.219599,-0.00731,0.234622,98.63924
PI041-02-02,37.2701,20.8159,41.0151,0.104744,0.293681,0.016547,0.214939,99.731
PI041-03-01,38.7958,15.4693,44.751,0.180198,0.212197,0.031333,0.259919,99.699745
PI041-03-03,38.7019,15.7825,44.9208,0.164372,0.214836,0.037263,0.275049,100.09672
PI041-05-04,37.8767,21.6263,38.4368,0.08568,0.278446,0.020123,0.203504,98.52756
PI041-05-06,37.5743,21.6512,38.5169,0.098033,0.285945,0.041296,0.203836,98.371506
PI041-07-01,39.7187,16.6383,41.8539,0.111479,0.230593,0.018336,0.256171,98.827484
PI041-07-02,39.8531,16.5038,41.8013,0.113472,0.208573,0.012177,0.249056,98.74148
PI052-01-02,38.594,20.538,40.23,0.155,0.286,,,99.803
