name,SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,FeO,total
PI032,46.96282,3.4473805,16.650124,0.17461781,7.0045576,9.400741,3.1312535,1.2905363,0.6353456,0.009629824,11.350806,100.0578121
PI041,46.29271,3.5539727,17.191874,0.17067128,6.221699,9.443416,2.7011101,1.0760785,0.6103869,0.007262194,10.986336,98.25551667
PI053,47.515736,3.084096,15.182294,0.16994809,8.250577,9.640357,2.2982225,1.0133317,0.44806302,0.009224988,10.955438,98.5672883
PI054,47.524357,3.3695939,16.456587,0.17467074,6.5696216,9.216309,2.6539943,1.3673365,0.64853394,0.029539838,10.95366,98.96420382
PI055,46.452168,3.2870178,16.039806,0.16908427,7.3960605,9.469899,2.0352044,1.0722106,0.5397917,0.011675924,10.896147,97.36906519
PI056,46.84777,3.2964206,16.102732,0.16200273,8.270834,10.336594,2.1425135,0.8561859,0.4953026,0.017627152,10.812466,99.34044848
PI057,50.031525,2.7708416,16.757473,0.1894809,4.0881524,6.989567,2.8960588,1.5702766,0.7276417,0.024120595,10.444202,96.4893396
PI058,48.830196,3.0481617,17.094526,0.19217972,5.0304637,7.9416676,3.5077784,1.5115215,0.87248397,0.004147737,10.84003,98.87315633
PI060,46.043156,3.386505,16.415918,0.1756677,6.8689632,9.444366,2.738396,1.2243266,0.5740393,0.004992484,11.105897,97.98222728
PI063,45.625256,3.8901865,17.519846,0.19328368,4.8291736,7.369098,3.0040193,1.4591118,0.78685033,0.025140723,12.202663,96.90462893
PI065,47.252407,3.2863657,16.14966,0.16914317,7.312448,8.876008,2.4781601,1.0126816,0.69943523,0.025734091,11.143403,98.40544589
PI066,48.126072,3.2105973,15.923839,0.16753201,7.477266,9.182075,2.595047,1.1026525,0.6774251,0.020162854,10.909552,99.39222076
PI067,47.84469,3.2039015,15.608767,0.16806236,7.998987,9.011969,2.5118213,1.1185461,0.67335117,0.020355772,11.150489,99.3109402
PI068,47.892445,3.3421252,16.108368,0.17318258,7.375587,8.972848,2.5797236,1.1128473,0.6961143,0.018515743,11.102275,99.37403172
PI069,47.06948,3.084241,15.932927,0.16931646,8.150229,9.310221,2.5639775,0.99186677,0.51927024,0.016988477,10.953845,98.76236245
PI070,46.205753,2.8654149,16.058798,0.16744904,9.000831,9.995245,1.9728146,0.81016076,0.4884095,0.023360616,10.881053,98.46928942
PI071,47.380394,2.9556901,15.362585,0.17219847,9.436796,9.242685,2.490324,0.9868643,0.49198133,0.020767914,11.163311,99.70359711
PI074,46.97988,3.102753,17.653107,0.16426048,6.029279,9.344552,2.5559762,1.1458677,0.64112025,0.022860782,10.393835,98.03349141
PI077,46.424423,2.9362292,18.131485,0.15765911,6.412976,9.990738,2.4498029,0.8720336,0.52971894,0.007753258,10.020266,97.93308501
PI078,47.33216,2.7604775,17.940369,0.15344274,7.162683,10.440271,2.5112698,0.8645698,0.49871376,0.009482212,9.810708,99.48414681
PI079,46.463078,2.6223986,19.030804,0.14308284,6.858044,10.6438875,2.2014105,0.62720436,0.43603387,0.010215885,9.269547,98.30570655
PI081,47.270523,3.2522235,16.486982,0.16487685,7.7302227,10.20016,2.5863862,0.9813237,0.47574157,0.002908385,10.91782,100.0691679
PI084,47.11318,2.8827007,16.570293,0.16275994,5.5385356,9.111033,2.5526788,1.4436014,0.48279902,0.08013551,10.127982,96.06569897
PI094,46.99494,2.8552358,16.001835,0.17497349,7.697551,9.213297,2.8524725,1.1833656,0.5246244,0.004361116,10.638988,98.14164391
PI097,48.893612,2.7619064,15.642941,0.15707478,7.445344,10.836252,2.5982075,1.1483018,0.47654378,0.08011651,9.737386,99.77768577
PI111,45.933205,3.2303169,15.928249,0.18006171,6.312954,10.462223,2.0898933,1.0698708,0.49838334,0.125594,11.219208,97.04995905
PI114,47.358353,3.1084795,15.651081,0.16983001,5.8925104,10.761337,2.5431468,1.2654687,0.5000828,0.057431106,10.660654,97.96837432
